,Unnamed: 0,index,entry,primaryDataVersion,secondaryDataVersion,tertiaryDataVersion,studySiteID,sessionID,metricName,metricIdentifier,rawValue,scoredValue,zScoreInSample,zScoreInPopulation,tScoreInSample,tScoreInPopulation,metricTitle,StrengthAdvice,WeaknessAdvice,metricDesc,cogAbil,cogName,average,score_rating,image_path,colors
0,0,0,105,0,0,0,debug,101a,MDS,0,14.0,14.0,0.0,2.6020942408376966,50.0,76.02094240837697,Maximum Difficulty Solved,You scored high in MDS. Your strengths may lie in ,You scored low in MDS. You may struggle with ,"MDS measures a player’s planning ability, namely, their ability to think through sequential, logical steps and deduce the appropriate current course of action.   ",being able to think tasks through sequentially and understanding how to complete it.,Planning,9.03,average,static/images/zscoresimg/average.png,#fac833
1,1,1,106,0,0,0,debug,101a,SAD,0,0.0,-1.0,,-10.796610169491526,,-57.96610169491527,Score Attack Deliberation,You scored high in SAD. Your strengths may lie in ,You scored low in SAD. You may struggle with ,"SAD measures a player’s inhibitory control,  namely, their ability to withhold action until the proper timing, even when they have a strong impulse to take the action anyway.  ",waiting for the proper moment to act and fighting impulses.,Inhibition,5.37,,,
2,2,50,18,0,0,0,debug,101a,TACR,0,-2.837185142743926,-2.252081450250472,-2.57e-14,-0.5851437579195478,49.999999999999744,44.14856242080453,Task-Appropriate Coordinate Repeat,You scored high in TACR. Your strengths may lie in ,You scored low in TACR. You may struggle with ,"TACR measures a player’s ability to set shift or adapt, namely how easily they are able to recognize and appropriately adapt their behavior to changing circumstances and rules.",being able to recognize when rules or expectations have changed and adapting to it.,Set Shifting,-1.31,average,static/images/zscoresimg/average.png,#fac833
3,3,62,92,0,0,0,test,Alan,TACR,0,1.1573762397350391,1.638948787106176,1.317045165342152,1.8316452093827176,63.17045165342152,68.31645209382718,Task-Appropriate Coordinate Repeat,You scored high in TACR. Your strengths may lie in ,You scored low in TACR. You may struggle with ,"TACR measures a player’s ability to set shift or adapt, namely how easily they are able to recognize and appropriately adapt their behavior to changing circumstances and rules.",being able to recognize when rules or expectations have changed and adapting to it.,Set Shifting,-1.31,high,static/images/zscoresimg/high.png,#96dc46
4,4,49,400,0,0,0,test,Alan,SAR,0,48000.0,10.778956413269,0.9985592104350364,1.0348872449024102,59.98559210435036,60.3488724490241,Score Attack Record,You scored high in SAR. Your strengths may lie in ,You scored low in SAR. You may struggle with ,"SAR measures a player’s strategic thinking,  namely, their ability to abstractly come up with “best approaches” to a relatively open-ended task or need.   ",thinking of good solutions when facing open-ended tasks.,Strategic Thinking,9.92,high,static/images/zscoresimg/high.png,#96dc46
5,5,48,399,0,0,0,test,Alan,SAV,0,44.0,3.7841897010803,0.588199931466766,0.1564242480552056,55.88199931466766,51.56424248055205,Score Attack Verbosity,You scored high in SAV. Your strengths may lie in ,You scored low in SAV. You may struggle with ,"SAV measures a player’s working memory,  namely, their ability to encode and store temporary chunks of information and appropriately access it later for usage.   ",remembering multiple chunks of information at once and being able to access such information from memory at a later point in time.,Keeping Things in Memory,3.67,high,static/images/zscoresimg/high.png,#96dc46
6,6,47,398,0,0,0,test,Alan,SAD,0,180.68353271484,5.1967468261719,-0.753849750527666,-0.2936494471662716,42.46150249472334,47.06350552833728,Score Attack Deliberation,You scored high in SAD. Your strengths may lie in ,You scored low in SAD. You may struggle with ,"SAD measures a player’s inhibitory control,  namely, their ability to withhold action until the proper timing, even when they have a strong impulse to take the action anyway.  ",waiting for the proper moment to act and fighting impulses.,Inhibition,5.37,low,static/images/zscoresimg/low.png,#f5971d
7,7,46,397,0,0,0,test,Alan,MDS,0,9.0,9.0,0.7982281262852824,-0.0157068062827221,57.98228126285282,49.84293193717278,Maximum Difficulty Solved,You scored high in MDS. Your strengths may lie in ,You scored low in MDS. You may struggle with ,"MDS measures a player’s planning ability, namely, their ability to think through sequential, logical steps and deduce the appropriate current course of action.   ",being able to think tasks through sequentially and understanding how to complete it.,Planning,9.03,high,static/images/zscoresimg/high.png,#96dc46
8,8,74,90,0,0,0,test,Alan,EFCS,0,1.0576366458137172,0.9079692015499978,1.20512098196925,0.8279692015499979,62.0512098196925,58.279692015499975,Executive Function Composite Score,You scored high in EFCS. Your strengths may lie in ,You scored low in EFCS. You may struggle with ,EFCS measures a player's overall executive function and ability to plan and execute tasks.,"being able to plan for complex, multi-step novel tasks and appropriately regulating your behavior.",Executive Function,0.08,high,static/images/zscoresimg/high.png,#96dc46
9,9,9,324,0,0,0,VC,Barry,SAR,0,0.0,-1.0,-1.0,-13.156626506024097,40.0,-81.56626506024097,Score Attack Record,You scored high in SAR. Your strengths may lie in ,You scored low in SAR. You may struggle with ,"SAR measures a player’s strategic thinking,  namely, their ability to abstractly come up with “best approaches” to a relatively open-ended task or need.   ",thinking of good solutions when facing open-ended tasks.,Strategic Thinking,9.92,low,static/images/zscoresimg/low.png,#f5971d
10,10,7,322,0,0,0,VC,Barry,SAD,0,58.637542724609,4.0713753700256,0.0,-2.2010586948718647,50.0,27.98941305128136,Score Attack Deliberation,You scored high in SAD. Your strengths may lie in ,You scored low in SAD. You may struggle with ,"SAD measures a player’s inhibitory control,  namely, their ability to withhold action until the proper timing, even when they have a strong impulse to take the action anyway.  ",waiting for the proper moment to act and fighting impulses.,Inhibition,5.37,average,static/images/zscoresimg/average.png,#fac833
11,11,6,321,0,0,0,VC,Barry,MDS,0,1.0,1.0,0.0,-4.204188481675392,50.0,7.958115183246079,Maximum Difficulty Solved,You scored high in MDS. Your strengths may lie in ,You scored low in MDS. You may struggle with ,"MDS measures a player’s planning ability, namely, their ability to think through sequential, logical steps and deduce the appropriate current course of action.   ",being able to think tasks through sequentially and understanding how to complete it.,Planning,9.03,average,static/images/zscoresimg/average.png,#fac833
12,12,52,73,0,0,0,VC,Barry,TACR,0,-2.0065840110622424,-1.2430534566611906,-4.21e-14,0.0415817039371487,49.99999999999958,50.41581703937149,Task-Appropriate Coordinate Repeat,You scored high in TACR. Your strengths may lie in ,You scored low in TACR. You may struggle with ,"TACR measures a player’s ability to set shift or adapt, namely how easily they are able to recognize and appropriately adapt their behavior to changing circumstances and rules.",being able to recognize when rules or expectations have changed and adapting to it.,Set Shifting,-1.31,average,static/images/zscoresimg/average.png,#fac833
13,13,54,79,0,0,0,test,Barry,TACR,0,-1.537166728734778,-0.93148274117856,-1.090069958756217,0.235103887466733,39.09930041243783,52.35103887466733,Task-Appropriate Coordinate Repeat,You scored high in TACR. Your strengths may lie in ,You scored low in TACR. You may struggle with ,"TACR measures a player’s ability to set shift or adapt, namely how easily they are able to recognize and appropriately adapt their behavior to changing circumstances and rules.",being able to recognize when rules or expectations have changed and adapting to it.,Set Shifting,-1.31,low,static/images/zscoresimg/low.png,#f5971d
14,14,64,71,0,0,0,VC,Barry,EFCS,0,0.0,-2.081303388869122,0.0,-2.161303388869122,50.0,28.38696611130878,Executive Function Composite Score,You scored high in EFCS. Your strengths may lie in ,You scored low in EFCS. You may struggle with ,EFCS measures a player's overall executive function and ability to plan and execute tasks.,"being able to plan for complex, multi-step novel tasks and appropriately regulating your behavior.",Executive Function,0.08,average,static/images/zscoresimg/average.png,#fac833
15,15,66,77,0,0,0,test,Barry,EFCS,0,-0.1459209162354673,0.1096985405920054,-0.1662691611146286,0.0296985405920054,48.337308388853714,50.29698540592005,Executive Function Composite Score,You scored high in EFCS. Your strengths may lie in ,You scored low in EFCS. You may struggle with ,EFCS measures a player's overall executive function and ability to plan and execute tasks.,"being able to plan for complex, multi-step novel tasks and appropriately regulating your behavior.",Executive Function,0.08,average,static/images/zscoresimg/average.png,#fac833
16,16,17,348,0,0,0,test,Barry,SAR,0,20333.0,9.9200000762939,-1.6669456102904594,9.19203604e-08,33.33054389709541,50.00000091920361,Score Attack Record,You scored high in SAR. Your strengths may lie in ,You scored low in SAR. You may struggle with ,"SAR measures a player’s strategic thinking,  namely, their ability to abstractly come up with “best approaches” to a relatively open-ended task or need.   ",thinking of good solutions when facing open-ended tasks.,Strategic Thinking,9.92,verylow,static/images/zscoresimg/verylow.png,#f0640f
