itemKey,qcdItem,code,japanese,english
results_earlyMorningAdvice,1,mds,夜、子どもと一緒に次の日の朝の活動を話し合いましょう。例えば、何時に起きるか、朝食に何を食べるか、どんな服を着るかなどを話し合います。子どもが朝起きることができたら褒める、短時間好きなことをする、一緒に遊ぶなど、小さなご褒美で成功を祝いましょう。,"At night, discuss the next day's morning activities with your child. For example, discuss what time you will get up, what you will eat for breakfast, what clothes you will wear, etc. Celebrate success with small rewards, such as praising your child for getting up in the morning, doing something you like for a short time, or playing together."
results_earlyMorningAdvice,1,mds,寝る前にはリラックスできる時間を作り、質の良い睡眠を促すようにしましょう。例えば、本を読む時間を持つなどです。,"Make time for relaxation before bed to encourage good sleep. For example, have time to read a book."
results_earlyMorningAdvice,1,mds,自然な光が部屋に入るようにして、朝起きやすい環境を作りましょう。好きな目覚まし時計を選ぶのも一つの方法です。,Allow natural light to enter your room to make it easier to get up in the morning. Choosing a favorite alarm clock is another way.
results_earlyMorningAdvice,1,mds,毎日同じ時間に起きる習慣を身につけさせることで、子どもの体内時計を整えましょう。,Get your child into the habit of waking up at the same time every day to regulate his or her internal clock.
results_earlyMorningAdvice,1,tacr,万が一、朝起きられなかった時のために、予備の計画を立てておきましょう。絶対に必要ではない朝の習慣をスキップするのも良いでしょう。,Have a backup plan in case you are unable to get up in the morning. It is also a good idea to skip morning routines that are not absolutely necessary.
results_earlyMorningAdvice,1,tacr,朝、ベッドから出てすぐにできる簡単なストレッチや顔を洗うことを習慣にしましょう。,Make it a habit to do simple stretches or wash your face as soon as you get out of bed in the morning.
results_earlyMorningAdvice,1,tacr,起床後にすぐ楽しめる活動を一緒に考え、子どもが朝起きることを楽しみにできるようにしましょう。,Work together to come up with activities that you can enjoy right after you get up so that your child can look forward to getting up in the morning.
results_earlyMorningAdvice,1,tacr,起きるのが難しい日があっても大丈夫です。その原因を一緒に考え、次回に活かしましょう。,It is okay if there are days when getting up is difficult. Think together about the reasons for this and make the most of it the next time.
results_earlyMorningAdvice,1,tacr,起きたくない気持ちを受け止めつつ、それに負けずに行動するための方法を一緒に考えましょう。,"Accept the feeling of not wanting to get up, but think together about how to act without letting it get the best of you."
results_earlyMorningAdvice,1,sav,朝の一連の行動をシンプルな手順に分けて、子どもが覚えやすいようにしましょう。,Break the morning sequence of activities into simple steps that are easy for your child to remember.
results_earlyMorningAdvice,1,sav,朝にすることのリストを作成し、目につく場所に貼りましょう。,Make a list of things to do in the morning and post it where you can see it.
results_earlyMorningAdvice,1,sav,就寝前に、翌日の朝の予定を声に出して確認することで、子どもが何をするべきかを覚えやすくしましょう。,"Before bedtime, go over the next day's morning schedule aloud to help your child remember what to do."
results_earlyMorningAdvice,1,sav,朝に達成したい小さな目標を設け、それを達成した時の喜びを感じさせましょう。,Set small goals to accomplish in the morning and let them feel the joy of accomplishing them.
results_earlyMorningAdvice,1,sav,朝の活動に関連する言葉や絵を使って、楽しく記憶できる工夫も有効です。呪文のように簡単に繰り返せるような表現にすることや、簡単な替え歌を作るのも良いでしょう。,"Using words and pictures related to the morning activity to make it fun and memorable can also be effective. It is also a good idea to use expressions that can be easily repeated like incantations, or to create a simple dub song."
results_earlyMorningAdvice,1,sad,就寝前にテレビやスマートフォンの使用を控えることで、より良い睡眠を促し、朝スムーズに目覚められるようにしましょう。,Avoid using TV or smartphones before bedtime to promote better sleep and help you wake up smoothly in the morning.
results_earlyMorningAdvice,1,sad,起床時間になったらすぐにベッドから出る習慣を身につけましょう。これにより、布団の中での誘惑を抑えることができます。,Get into the habit of getting out of bed as soon as it is time to get up. This will help reduce temptation under the covers.
results_earlyMorningAdvice,1,sad,朝に楽しみな活動を計画することで、目覚めたときのモチベーションを高めましょう。たとえば、好きな朝食を用意するなどが効果的です。,"Motivate yourself when you wake up by planning activities you look forward to in the morning. For example, preparing a favorite breakfast can be effective."
results_earlyMorningAdvice,1,sad,夜更かしやスマートフォンの使用など、起床を妨げる行動を意識し、これらの行動を控えるようにしましょう。これにより、自分自身の行動をコントロールする力を養うことができます。,"Be aware of behaviors that interfere with waking up, such as staying up late or using your smartphone, and try to refrain from these behaviors. This will help you develop control over your own behavior."
results_earlyMorningAdvice,1,sad,起き上がることができた日は、その小さな成功を記録しておきましょう。自分自身を褒めてあげることで、次の日も成功するための意欲が湧いてきます。,"On days when you are able to get up, keep track of these small successes. Praising yourself will motivate you to succeed the next day."
results_schoolAdvice,5,mds,学校で楽しみにしている活動や科目を一緒に話し合い、学校への前向きな期待感を高めましょう。,Discuss with them the activities and subjects they look forward to at school to build positive expectations for school.
results_schoolAdvice,5,mds,学校生活のポジティブな面を強調し、学校への好意的な態度を育てましょう。,Emphasize the positive aspects of school life and foster positive attitudes toward school.
results_schoolAdvice,5,mds,学校行事や友達との予定をカレンダーに記入し、楽しみながら学校生活を計画しましょう。,Plan school events and appointments with friends on the calendar to help them enjoy and plan for school.
results_schoolAdvice,5,mds,学校での成功体験を振り返り、自信を持って学校に行けるようサポートしましょう。,Reflect on their school successes and help them feel confident in school.
results_schoolAdvice,5,mds,学校での困難や不安に対しても、前もって準備や対策を話し合い、安心感を持って学校に臨めるようにしましょう。,Discuss in advance how to prepare for and cope with school difficulties and anxieties so that you can go to school with a sense of security.
results_schoolAdvice,5,tacr,学校での問題や困ったことがあった場合、冷静に対処する方法を一緒に考えましょう。,"If there are problems or difficulties at school, work together to find ways to deal with them calmly."
results_schoolAdvice,5,tacr,学校への適応に苦労している場合は、学校の先生やスクールカウンセラーと連携し、適切なサポートを受けましょう。,"If you are having difficulty adjusting to school, work with your school teachers and school counselor to get appropriate support."
results_schoolAdvice,5,tacr,学校生活でポジティブな関係を築くために、共通の趣味について話す、些細なことでもありがとう、と伝えるなど,"To build positive relationships in school, talk about common interests, tell them thank you for even the smallest things, etc."
results_schoolAdvice,5,tacr,友達作りのコツやコミュニケーションスキルを教えましょう。特にクラス替えのある新学期は不安になることが多いものです。,"Teach your child tips on making friends and communication skills. Students often feel anxious, especially during the new school year when there are class changes."
results_schoolAdvice,5,tacr,失敗や挫折を経験した時は、それを乗り越える強さを育てるチャンスと捉え、一緒に解決策を探しましょう。,"When you experience a failure or setback, see it as an opportunity to develop the strength to overcome it and look for solutions together."
results_schoolAdvice,5,tacr,学校での楽しい経験を積極的に共有し、お子さんの学校生活への興味を引き出しましょう。,Be proactive in sharing happy experiences at school and spark your child's interest in school life.
results_schoolAdvice,5,sav,学校での一連の行動やスケジュールを覚えやすくするために、イラストなどを用いて視覚的に理解できるようにしましょう。,Use illustrations and other visual aids to help your child remember a series of school activities and schedules.
results_schoolAdvice,5,sav,学校の予定や宿題の管理方法を教え、自己管理能力を高めましょう。,Teach your child how to manage school schedules and homework assignments to improve self-discipline.
results_schoolAdvice,5,sav,学校でのポジティブな出来事を記録する日記をつけさせ、モチベーションの向上に役立てましょう。,Have them keep a diary to record positive events at school to help motivate them.
results_schoolAdvice,5,sav,学校で必要な情報や知識を効果的に覚えるための戦略を一緒に考えましょう。,Work with them to develop strategies for effectively remembering the information and knowledge they need for school.
results_schoolAdvice,5,sav,毎日の学校生活での小さな目標を設定し、達成感を感じられるようにしましょう。,Set small daily school goals to help them feel a sense of accomplishment.
results_schoolAdvice,5,sad,学校へのネガティブな感情を感じた時、それを表現する適切な方法を教えましょう。,Teach them appropriate ways to express their negative feelings about school when they feel them.
results_schoolAdvice,5,sad,学校に行きたくないという気持ちを抱えた時、その理由をじっくりと聞き、理解し、適切なサポートを提供しましょう。,"When you have feelings of not wanting to go to school, take the time to listen, understand why, and offer appropriate support."
results_schoolAdvice,5,sad,学校へ行くことに対する不安や恐れを和らげるために、ポジティブな自己暗示の習慣を身につけさせましょう。,Help them develop positive self-motivational habits to ease their fears and anxieties about going to school.
results_schoolAdvice,5,sad,学校を休みたいという気持ちが強いときには、健康的な生活習慣（十分な睡眠、バランスの取れた食事）が取れているか確認し、あまりにも崩れている時には無理をさせないことも大切です。,"When the desire to take time off from school is strong, it is important to make sure that they are maintaining a healthy lifestyle (adequate sleep, balanced diet) and not push them too hard when they are too disorganized."
results_schoolAdvice,5,sad,学校でのネガティブな経験を乗り越える力を育てるために、問題解決能力や適応力を高める活動を一緒に行いましょう。,Work together to develop problem-solving and adaptive activities that will help them develop the ability to overcome negative experiences at school.
results_afterSchoolAdvice,8,mds,家での会話の時間を設け、子どもが学校での出来事を共有しやすい環境を作りましょう。食事時や就寝前など、毎日同じ時間にすると良いでしょう。,"Set aside time for conversation at home to make it easier for your child to share what is happening at school. It is best to do this at the same time each day, such as at mealtime or before bedtime."
results_afterSchoolAdvice,8,mds,子どもが話しやすいように、具体的な質問を用意しておきましょう。例えば、「今日学校で一番楽しかったことは何？」や「授業で新しいことを学んだかな？」などです。,"Prepare specific questions that your child is comfortable talking about. For example, ""What did you enjoy most at school today?"" or ""Did you learn anything new in class?"" etc."
results_afterSchoolAdvice,8,mds,学校のカレンダーや行事予定を一緒に確認し、特定のイベントや活動について話すきっかけを作りましょう。,Check the school calendar or calendar of events together to provide an opportunity to talk about specific events or activities.
results_afterSchoolAdvice,8,mds,学校での経験を共有することの価値を伝え、家族との絆を深める機会として捉えましょう。,Communicate the value of sharing school experiences and see this as an opportunity to bond with your family.
results_afterSchoolAdvice,8,mds,学校の先生やクラスメイトとのポジティブな関係を築くことが、学校生活をより豊かにすることを子どもに伝えましょう。,Let your child know that building positive relationships with school teachers and classmates will enrich his or her school experience.
results_afterSchoolAdvice,8,tacr,子どもが学校で困難に直面した場合、共感を示し、解決策を一緒に考えましょう。子どもの感情を否定せず、理解しようとする姿勢が大切です。,"If your child faces difficulties at school, show empathy and work together to find solutions. It is important to try to understand your child's feelings without denying them."
results_afterSchoolAdvice,8,tacr,学校でのネガティブな出来事も受け止め、それを乗り越えるためのサポートを提供しましょう。,Accept negative events at school and offer support to help them overcome them.
results_afterSchoolAdvice,8,tacr,子どもが学校の話をする際には、じっくりと耳を傾け、関心を持って応答しましょう。子どもが話しやすい雰囲気を常に心がけましょう。,Listen carefully and respond with interest when your child talks about school. Always try to create an atmosphere where your child feels comfortable talking.
results_afterSchoolAdvice,8,tacr,学校での出来事を話すことを躊躇している場合は、話しやすいように励まし、必要に応じてプライバシーを尊重しましょう。,"If they are hesitant to talk about school events, encourage them to do so and respect their privacy if necessary."
results_afterSchoolAdvice,8,tacr,学校生活の中で達成した成果に対しては、積極的に褒めて、自尊心を高めるよう努めましょう。,Be positive in praising your child for accomplishments during the school day and work to build self-esteem.
results_afterSchoolAdvice,8,sav,学校で学んだことや経験したことを思い出しやすくするために、視覚的な記憶に残る方法（絵を描く、写真を撮るなど）を活用しましょう。,"Use visual reminders (drawing, taking pictures, etc.) to help them remember what they have learned and experienced at school."
results_afterSchoolAdvice,8,sav,学校での出来事を記録する日記をつけることで、思い出を整理しやすくしましょう。,Keep a journal to record events at school to help you organize your memories.
results_afterSchoolAdvice,8,sav,家族との会話の中で、学校での出来事について定期的に話題にすることで、子どもが自然と学校のことを思い出し、話しやすくなります。,Regularly mentioning school events in conversations with family members can help children remember and talk about school naturally.
results_afterSchoolAdvice,8,sav,親子で一緒に学校のプロジェクトや宿題に取り組むことで、学校での学習内容を家庭でも共有しましょう。,Share what your child is learning at school at home by working on school projects and homework together as a parent and child.
results_afterSchoolAdvice,8,sav,学校での出来事を家族や友人と共有することの楽しさを伝え、コミュニケーションのスキルを育てましょう。,"Let them know how much you enjoy sharing school events with family and friends, and develop communication skills."
results_afterSchoolAdvice,8,sad,学校の出来事について話す際、ネガティブな感情が先行しないよう、子どもが感情をコントロールできるようサポートしましょう。,Help your child control his or her emotions so that negative feelings do not precede talking about school events.
results_afterSchoolAdvice,8,sad,学校での出来事を話すことに対する不安や恐れを和らげるために、安心できる環境作りを心がけましょう。,Try to create a safe environment to allay their fears and anxieties about talking about school events.
results_afterSchoolAdvice,8,sad,他人の話を聞く際にも自分の意見や感情を抑え、相手の話に耳を傾けることの大切さを教えましょう。,"Teach your child the importance of listening to others, keeping his or her opinions and feelings in check."
results_afterSchoolAdvice,8,sad,学校で起きた出来事に対する反応として、即座に感情的になるのではなく、一呼吸置いてから反応するよう促しましょう。,"Encourage them to take a breath before reacting to events at school, rather than reacting immediately and emotionally."
results_afterSchoolAdvice,8,sad,学校の出来事を話すことによって生じる可能性のあるストレスや圧力を感じたとき、それに対処するためのリラクゼーション技法（深呼吸、瞑想など）を一緒に練習しましょう。,"Practice with them relaxation techniques (deep breathing, meditation, etc.) to help them cope with any stress or pressure that may arise from talking about school events."
results_eveningAdvice,13,mds,夕食の時間を家族全員がリラックスできる特別な時間として位置づけ、そのための準備をしましょう。食事の準備を子どもと一緒に行い、集まって食事をするのは楽しいことである、と印象付けるのも有効です。,Position dinner time as a special time for the whole family to relax and prepare for it. It is also helpful to prepare the meal together with the children and impress upon them that getting together for a meal is fun.
results_eveningAdvice,13,mds,夕食のメニューに子どもが好きな料理を取り入れつつ、健康的な食事バランスを考えましょう。子どもの好みを尊重することで、ポジティブな食事体験を作り出します。,Consider a healthy dietary balance while incorporating the child's favorite dishes into the dinner menu. Respecting your child's preferences creates a positive eating experience.
results_eveningAdvice,13,mds,夕食時の会話のために、家族全員が共有できる楽しい話題やニュースを事前にリストアップしましょう。,Make a preliminary list of fun topics and news for dinner conversation that the whole family can share.
results_eveningAdvice,13,mds,家族が一緒に夕食をとる時間を確保するために、各自のスケジュールを調整しましょう。夕食の時間を家族で過ごすことを優先事項として考えます。,Arrange your individual schedules to allow time for the family to eat dinner together. Make spending time together as a family at dinner a priority.
results_eveningAdvice,13,mds,子どもが夕食の準備に関わるようにしましょう。料理を手伝う、料理を運ぶ、食器をセットするなどの作業に参加することで、夕食が自分の中でも大事なものとして認識されます。,"Involve your children in dinner preparation. Participating in tasks such as helping with the cooking, carrying the food, and setting the dishes will help them recognize dinner as an important part of their lives."
